SAG_ID	TAXON	LOC
AAA015-D07	Actinobacteria	SASG
AAA015-M09	Actinobacteria	SASG
AAA015-N04	SAR116	SASG
AAA015-O19	Roseobacter	SASG
AAA076-C03	Roseobacter	GoM
AAA076-D02	Arctic96BD-19	GoM
AAA076-D13	Arctic96BD-19	GoM
AAA076-E06	Roseobacter	GoM
AAA076-E13	Arctic96BD-19	GoM
AAA076-F14	Arctic96BD-19	GoM
AAA076-M08	MGA	GoM
AAA076-P09	SAR86	GoM
AAA076-P13	SAR86	GoM
AAA158-B04	SAR116	GoM
AAA158-M15	SAR116	GoM
AAA160-B08	MGA	GoM
AAA160-C11	MGA	GoM
AAA160-D02	SAR92	GoM
AAA160-I06	MGA	GoM
AAA160-J14	SAR116	GoM
AAA160-P02	Bacteroidetes	GoM
AAA164-A08	Verruco-S3	GoM
AAA164-A21	Verruco-Verruco	GoM
AAA164-B23	Verruco-Verruco	GoM
AAA164-E04	Verruco-S3	GoM
AAA164-I21	Verruco-S3	GoM
AAA164-L15	Verruco-Verruco	GoM
AAA164-M04	Verruco-Verruco	GoM
AAA164-N20	Verruco-S3	GoM
AAA164-O14	Verruco-Verruco	GoM
AAA164-P11	Verruco-Verruco	GoM
AAA168-E21	Verruco-Verruco	GoM
AAA168-F10	Verruco-Verruco	GoM
AAA168-I18	SAR86	GoM
AAA168-P09	SAR86	GoM
AAA190-1F	Bacteroidetes	GoM
AAA298-D23	MGA	HOT-ALOHA
AAA298-K06	Roseobacter	HOT-ALOHA
AAA298-N10	SAR86	HOT-ALOHA
AAA300-B11	SAR116	HOT-ALOHA
AAA300-D14	SAR92	HOT-ALOHA
AAA300-J04	Roseobacter	HOT-ALOHA
AAA300-J16	SAR116	HOT-ALOHA
AAA300-K03	Verruco-Opitutae	HOT-ALOHA
AAA300-N18	Verruco-Opitutae	HOT-ALOHA
AAA300-O17	Verruco-Opitutae	HOT-ALOHA
AAA536-B06	SAR116	MED
AAA536-G10	SAR116	MED
AAA536-G18	Bacteroidetes	MED
AAA536-J20	SAR86	MED
AAA536-K22	SAR116	MED
AAA536-N21	SAR86	MED
AAA536-P05	Bacteroidetes	MED
MS024-2A	Bacteroidetes	GoM
MS024-3C	Bacteroidetes	GoM
MS220-5C	Bacteroidetes	GoM
